,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,group,address,long_lat
410,SW09288C000,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,na,14,1,2,TECH PARK CRESCENT,638118,-1,14 TECH PARK CRESCENT,"Drs Koo, Loh & Fok, 14, Tech Park Crescent, Tuas South, Southwest, 638118, Singapore"
411,SW14B28C000,SRI SURIYA'S MARKETING PTE. LTD.,"(PART OF- FRONT), FIRST STOREY, WESTLINK TECHPARK",115,na,0,TUAS VIEW WALK 1,637734,-1,115 TUAS VIEW WALK 1,"Tuas View Walk 1, Tuas South, Southwest, 638020, Singapore"
412,SW16901A000,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,na,12,1,20/21,TUAS SOUTH STREET 13,636937,-1,12 TUAS SOUTH STREET 13,"12, Tuas South Street 13, Tuas South, Southwest, 636901, Singapore"
413,SW15681P000,NPS IMPEX PTE. LTD,(PART OF),21,na,0,TUAS VIEW SQUARE,637640,-1,21 TUAS VIEW SQUARE,"21, Tuas View Square, Tuas South, Southwest, 638020, Singapore"
414,SW14632V000,TU HEE TRADING PTE. LTD.,"GROUND FLOOR - UNIT 2, WESTLINK TECHPARK",123,na,0,TUAS VIEW WALK 1,637738,-1,123 TUAS VIEW WALK 1,"Tuas View Walk 1, Tuas South, Southwest, 638020, Singapore"
415,SW10780J000,JAYTARRANI PTE. LTD.,na,32,1,2,TUAS VIEW SQUARE,637778,-1,32 TUAS VIEW SQUARE,"32, Tuas View Square, Tuas South, Southwest, 638020, Singapore"
416,J02019K000,PRIME SUPERMARKET LIMITED?,na,962,1,300,JURONG WEST STREET 91,640962,3,962 JURONG WEST STREET 91,"Foo Clinic, 962, Jurong West Street 91, Jurong West, Southwest, 640962, Singapore"
417,SW07209E000,SHENG SIONG SUPERMARKET PTE LTD,na,7,na,0,JURONG WEST AVE 5,649486,2,7 JURONG WEST AVE 5,"Jurong West Avenue 5, Jurong West, Southwest, 640762, Singapore"
418,SW05008N000,COLD STORAGE SINGAPORE (1983) PTE LTD,PIONEER MALL,638,3,1,JURONG WEST STREET 61,640638,1,638 JURONG WEST STREET 61,"Pioneer Mall, 638, Jurong West Street 61, Jurong West, Southwest, 640638, Singapore"
419,SW15D03B000,PRIME SUPERMARKET (1996) PTE LTD,"NORTH SPINE , NTU",50,NS3,46023,NANYANG AVENUE,639798,4,50 NANYANG AVENUE,"School of Materials Science and Engineering, 50, Nanyang Avenue, Jurong West, Southwest, 639798, Singapore"
420,SW14951X000,NTUC Fairprice Co-operative Ltd,#02-21 & #03-21 FAIRPRICE HUB,1,na,0,JOO KOON CIRCLE,629117,0,1 JOO KOON CIRCLE,"UOB, 1, Joo Koon Circle, Joo Koon, Southwest, 628117, Singapore"
421,C02038K000,NTUC Fairprice Co-operative Ltd,JURONG POINT,1,B1,9,JURONG WEST CENTRAL 2,648886,0,1 JURONG WEST CENTRAL 2,"Jurong Point, 1, Jurong West Central 2, Jurong West, Southwest, 648886, Singapore"
422,C02041V000,NTUC Fairprice Co-operative Ltd,#01-43A & 01-35,399,na,0,YUNG SHENG ROAD,610399,0,399 YUNG SHENG ROAD,"Prohealth Medical Group, 399, Yung Sheng Road, Jurong West, Southwest, 610399, Singapore"
423,C02050X000,SHENG SIONG SUPERMARKET PTE LTD,#01-01A/02,3,1,0,YUAN CHING ROAD,618642,2,3 YUAN CHING ROAD,"UOB, 3, Yuan Ching Road, Jurong East, Southwest, 618642, Singapore"
424,C02040A000,NTUC Fairprice Co-operative Ltd,#01-119/02-119,63/66,na,0,YUNG KUANG ROAD,610063,0,63/66 YUNG KUANG ROAD,"Yung Kuang Road, Jurong East, Southwest, 610066, Singapore"
425,SW08A59X000,NTUC Fairprice Co-operative Ltd,#03-01 JURONG POINT SHOPPING CENTRE,63,na,0,JURONG WEST CENTRAL 3,648331,0,63 JURONG WEST CENTRAL 3,"UOB, 63, Jurong West Central 3, Jurong West, Southwest, 648331, Singapore"
